id,provinsi_id,nama,kode
1101,11,KAB. ACEH SELATAN,11.01
1102,11,KAB. ACEH TENGGARA,11.02
1103,11,KAB. ACEH TIMUR,11.03
1104,11,KAB. ACEH TENGAH,11.04
1105,11,KAB. ACEH BARAT,11.05
1106,11,KAB. ACEH BESAR,11.06
1107,11,KAB. PIDIE,11.07
1108,11,KAB. ACEH UTARA,11.08
1109,11,KAB. SIMEULUE,11.09
1110,11,KAB. ACEH SINGKIL,11.10
1111,11,KAB. BIREUEN,11.11
1112,11,KAB. ACEH BARAT DAYA,11.12
1113,11,KAB. GAYO LUES,11.13
1114,11,KAB. ACEH JAYA,11.14
1115,11,KAB. NAGAN RAYA,11.15
1116,11,KAB. ACEH TAMIANG,11.16
1117,11,KAB. BENER MERIAH,11.17
1118,11,KAB. PIDIE JAYA,11.18
1171,11,KOTA BANDA ACEH,11.71
1172,11,KOTA SABANG,11.72
1173,11,KOTA LHOKSEUMAWE,11.73
1174,11,KOTA LANGSA,11.74
1175,11,KOTA SUBULUSSALAM,11.75
1201,12,KAB. TAPANULI TENGAH,12.01
1202,12,KAB. TAPANULI UTARA,12.02
1203,12,KAB. TAPANULI SELATAN,12.03
1204,12,KAB. NIAS,12.04
1205,12,KAB. LANGKAT,12.05
1206,12,KAB. KARO,12.06
1207,12,KAB. DELI SERDANG,12.07
1208,12,KAB. SIMALUNGUN,12.08
1209,12,KAB. ASAHAN,12.09
1210,12,KAB. LABUHANBATU,12.10
1211,12,KAB. DAIRI,12.11
1212,12,KAB. TOBA,12.12
1213,12,KAB. MANDAILING NATAL,12.13
1214,12,KAB. NIAS SELATAN,12.14
1215,12,KAB. PAKPAK BHARAT,12.15
1216,12,KAB. HUMBANG HASUNDUTAN,12.16
1217,12,KAB. SAMOSIR,12.17
1218,12,KAB. SERDANG BEDAGAI,12.18
1219,12,KAB. BATU BARA,12.19
1220,12,KAB. PADANG LAWAS UTARA,12.20
1221,12,KAB. PADANG LAWAS,12.21
1222,12,KAB. LABUHANBATU SELATAN,12.22
1223,12,KAB. LABUHANBATU UTARA,12.23
1224,12,KAB. NIAS UTARA,12.24
1225,12,KAB. NIAS BARAT,12.25
1271,12,KOTA MEDAN,12.71
1272,12,KOTA PEMATANGSIANTAR,12.72
1273,12,KOTA SIBOLGA,12.73
1274,12,KOTA TANJUNG BALAI,12.74
1275,12,KOTA BINJAI,12.75
1276,12,KOTA TEBING TINGGI,12.76
1277,12,KOTA PADANGSIDIMPUAN,12.77
1278,12,KOTA GUNUNGSITOLI,12.78
1301,13,KAB. PESISIR SELATAN,13.01
1302,13,KAB. SOLOK,13.02
1303,13,KAB. SIJUNJUNG,13.03
1304,13,KAB. TANAH DATAR,13.04
1305,13,KAB. PADANG PARIAMAN,13.05
1306,13,KAB. AGAM,13.06
1307,13,KAB. LIMA PULUH KOTA,13.07
