id,kabupaten_id,nama,kode
110101,1101,Bakongan,11.01.01
110102,1101,Kluet Utara,11.01.02
110103,1101,Kluet Selatan,11.01.03
110104,1101,Labuhanhaji,11.01.04
110105,1101,Meukek,11.01.05
110106,1101,Samadua,11.01.06
110107,1101,Sawang,11.01.07
110108,1101,Tapaktuan,11.01.08
110109,1101,Trumon,11.01.09
110110,1101,Pasi Raja,11.01.10
110111,1101,Labuhan Haji Timur,11.01.11
110112,1101,Labuhan Haji Barat,11.01.12
110113,1101,Kluet Tengah,11.01.13
110114,1101,Kluet Timur,11.01.14
110115,1101,Bakongan Timur,11.01.15
110116,1101,Trumon Timur,11.01.16
110117,1101,Kota Bahagia,11.01.17
110118,1101,Trumon Tengah,11.01.18
110201,1102,Lawe Alas,11.02.01
110202,1102,Lawe Sigala-Gala,11.02.02
110203,1102,Bambel,11.02.03
110204,1102,Babussalam,11.02.04
110205,1102,Badar,11.02.05
110206,1102,Babul Makmur,11.02.06
110207,1102,Darul Hasanah,11.02.07
110208,1102,Lawe Bulan,11.02.08
110209,1102,Bukit Tusam,11.02.09
110210,1102,Semadam,11.02.10
110211,1102,Babul Rahmah,11.02.11
110212,1102,Ketambe,11.02.12
110213,1102,Deleng Pokhkisen,11.02.13
110214,1102,Lawe Sumur,11.02.14
110215,1102,Tanoh Alas,11.02.15
110216,1102,Leuser,11.02.16
110301,1103,Darul Aman,11.03.01
110302,1103,Julok,11.03.02
110303,1103,Idi Rayeuk,11.03.03
110304,1103,Birem Bayeun,11.03.04
110305,1103,Serbajadi,11.03.05
110306,1103,Nurussalam,11.03.06
110307,1103,Peureulak,11.03.07
110308,1103,Rantau Selamat,11.03.08
110309,1103,Simpang Ulim,11.03.09
110310,1103,Ranto Peureulak,11.03.10
110311,1103,Pante Bidari,11.03.11
110312,1103,Madat,11.03.12
110313,1103,Indra Makmu,11.03.13
110314,1103,Idi Tunong,11.03.14
110315,1103,Banda Alam,11.03.15
110316,1103,Peudawa,11.03.16
110317,1103,Peureulak Timur,11.03.17
110318,1103,Peureulak Barat,11.03.18
110319,1103,Sungai Raya,11.03.19
110320,1103,Simpang Jernih,11.03.20
110321,1103,Darul Ihsan,11.03.21
110322,1103,Darul Falah,11.03.22
110323,1103,Idi Timur,11.03.23
110324,1103,Peunaron,11.03.24
110401,1104,Linge,11.04.01
110402,1104,Silih Nara,11.04.02
110403,1104,Bebesen,11.04.03
110407,1104,Pegasing,11.04.07
110408,1104,Bintang,11.04.08
110410,1104,Ketol,11.04.10
110411,1104,Kebayakan,11.04.11
110412,1104,Kute Panang,11.04.12
110413,1104,Celala,11.04.13
110417,1104,Laut Tawar,11.04.17
110418,1104,Atu Lintang,11.04.18
110419,1104,Jagong Jeget,11.04.19
110420,1104,Bies,11.04.20
110421,1104,Rusip Antara,11.04.21
110501,1105,Johan Pahlawan,11.05.01
110502,1105,Kaway XVI,11.05.02
110503,1105,Sungai Mas,11.05.03
110504,1105,Woyla,11.05.04
110505,1105,Samatiga,11.05.05
110506,1105,Bubon,11.05.06
110507,1105,Arongan Lambalek,11.05.07
110508,1105,Pante Ceureumen,11.05.08
110509,1105,Meureubo,11.05.09
110510,1105,Woyla Barat,11.05.10
110511,1105,Woyla Timur,11.05.11
110512,1105,Panton Reu,11.05.12
110601,1106,Lhoong,11.06.01
110602,1106,Lhoknga,11.06.02
110603,1106,Indrapuri,11.06.03
110604,1106,Seulimeum,11.06.04
110605,1106,Montasik,11.06.05
110606,1106,Sukamakmur,11.06.06
110607,1106,Darul Imarah,11.06.07
110608,1106,Peukan Bada,11.06.08
110609,1106,Mesjid Raya,11.06.09
110610,1106,Ingin Jaya,11.06.10
110611,1106,Kuta Baro,11.06.11
110612,1106,Darussalam,11.06.12
110613,1106,Pulo Aceh,11.06.13
110614,1106,Lembah Seulawah,11.06.14
110615,1106,Kota Jantho,11.06.15
110616,1106,Kuta Cot Glie,11.06.16
110617,1106,Kuta Malaka,11.06.17
110618,1106,Simpang Tiga,11.06.18
110619,1106,Darul Kamal,11.06.19
110620,1106,Baitussalam,11.06.20
110621,1106,Krueng Barona Jaya,11.06.21
