id,kecamatan_id,nama,kode
1101012001,110101,Keude Bakongan,11.01.01.2001
1101012002,110101,Ujong Mangki,11.01.01.2002
1101012003,110101,Ujong Padang,11.01.01.2003
1101012004,110101,Gampong Drien,11.01.01.2004
1101012015,110101,Darul Ikhsan,11.01.01.2015
1101012016,110101,Padang Beurahan,11.01.01.2016
1101012017,110101,Gampong Baro,11.01.01.2017
1101022001,110102,Fajar Harapan,11.01.02.2001
1101022002,110102,Krueng Batee,11.01.02.2002
1101022003,110102,Pasi Kuala Asahan,11.01.02.2003
1101022004,110102,Gunong Pulo,11.01.02.2004
1101022005,110102,Pulo Ie I,11.01.02.2005
1101022006,110102,Jambo Manyang,11.01.02.2006
1101022007,110102,Simpang Empat,11.01.02.2007
1101022008,110102,Limau Purut,11.01.02.2008
1101022009,110102,Pulo Kambing,11.01.02.2009
1101022010,110102,Kampung Paya,11.01.02.2010
1101022011,110102,Krueng Batu,11.01.02.2011
1101022012,110102,Krueng Kluet,11.01.02.2012
1101022013,110102,Alur Mas,11.01.02.2013
1101022014,110102,Kampung Tinggi,11.01.02.2014
1101022015,110102,Ruak,11.01.02.2015
1101022016,110102,Simpang Lhee,11.01.02.2016
1101022017,110102,Suaq Geuringgeng,11.01.02.2017
1101022018,110102,Pasi Kuala Bau,11.01.02.2018
1101022019,110102,Kedai Padang,11.01.02.2019
1101022020,110102,Kotafajar,11.01.02.2020
1101022021,110102,Gunung Pudung,11.01.02.2021
1101032001,110103,Suaq Bakung,11.01.03.2001
1101032002,110103,Rantau Binuang,11.01.03.2002
1101032003,110103,Barat Daya,11.01.03.2003
1101032004,110103,Sialang,11.01.03.2004
1101032005,110103,Kapeh,11.01.03.2005
1101032006,110103,Pulo Ie,11.01.03.2006
1101032007,110103,Kedai Runding,11.01.03.2007
1101032008,110103,Kedai Kandang,11.01.03.2008
1101032009,110103,Gampong Luar,11.01.03.2009
1101032010,110103,Ujung,11.01.03.2010
1101032011,110103,Jua,11.01.03.2011
1101032012,110103,Pasi Meurapat,11.01.03.2012
1101032013,110103,Ujung Pasir,11.01.03.2013
1101032014,110103,Geulumbuk,11.01.03.2014
1101032015,110103,Pasie Lembang,11.01.03.2015
1101032016,110103,Ujung Padang,11.01.03.2016
1101032017,110103,Indra Damai,11.01.03.2017
1101042001,110104,Bakau Hulu,11.01.04.2001
1101042002,110104,Padang Bakau,11.01.04.2002
1101042003,110104,Manggis Harapan,11.01.04.2003
1101042004,110104,Pasar Lama,11.01.04.2004
1101042005,110104,Apha,11.01.04.2005
1101042006,110104,Ujung Batu,11.01.04.2006
1101042007,110104,Pawoh,11.01.04.2007
1101042008,110104,Dalam,11.01.04.2008
1101042009,110104,Kota Palak,11.01.04.2009
1101042010,110104,Cacang,11.01.04.2010
1101042011,110104,Tengah Pisang,11.01.04.2011
1101042012,110104,Pisang,11.01.04.2012
1101042013,110104,Hulu Pisang,11.01.04.2013
1101042014,110104,Tengah Baru,11.01.04.2014
1101042015,110104,Lembah Baru,11.01.04.2015
1101042016,110104,Padang Baru,11.01.04.2016
1101052001,110105,Kuta Buloh II,11.01.05.2001
1101052002,110105,Kuta Buloh I,11.01.05.2002
1101052003,110105,Ie Dingen,11.01.05.2003
1101052004,110105,Drien Jalo,11.01.05.2004
1101052005,110105,Jambo Papeun,11.01.05.2005
1101052006,110105,Buket Meuh,11.01.05.2006
